bibkg_id,wikidata_id,other_wikidata_ids,dblp_id,DBLP publication ID,DBLP venue ID,DBLP event ID,DOI,arXiv ID,ieeeXplore,hdl.handle,d-nb.info,ACM Classification Code,ACM Digital Library citation ID,ACM Digital Library event ID,ethos,ISBN-10,ISBN-13,DBLP author ID,ORCID ID,Google Scholar ID
a_Les_S__Jennings,Q102231538,,homepages/98/831,,,,,,,,,,,,,,,98/831,,
a_Ulrike_von_Nathusius,Q102232048,,homepages/72/2495,,,,,,,,,,,,,,,72/2495,,
a_Song_Wang_0004,Q102232765,,homepages/62/3151-4,,,,,,,,,,,,,,,62/3151-4,0000-0002-5198-8173,6fODRA4AAAAJ
a_Ladislav_Stacho,Q102237069,,homepages/08/4220,,,,,,,,,,,,,,,08/4220,,
a_Grant_E__Weddell,Q102244082,,homepages/81/5447,,,,,,,,,,,,,,,81/5447,,
a_Marc_Alexander_Schweitzer,Q102245725,,homepages/43/2682,,,,,,,,,,,,,,,43/2682,,
a_Ferenc_Rakoczi,Q102246790,,homepages/17/2406,,,,,,,,,,,,,,,17/2406,,
a_Joshua_D__Laison,Q102248579,,homepages/25/2816,,,,,,,,,,,,,,,25/2816,,
a_Marvin_C__Paull,Q102249083,,homepages/27/5434,,,,,,,,,,,,,,,27/5434,,
a_Michal_Kouck_yacute__0001,Q102249181,,homepages/14/1317-1,,,,,,,,,,,,,,,14/1317-1,0000-0003-0808-2269,
a_Martin_C__Rinard,Q102250695,,homepages/r/MartinCRinard,,,,,,,,,,,,,,,r/MartinCRinard,,hxlxVEUAAAAJ
a_Rainer_Steinwandt,Q102251576,,homepages/s/RainerSteinwandt,,,,,,,,,,,,,,,s/RainerSteinwandt,,
a_Donald_L__Snyder,Q102252384,,homepages/23/3836,,,,,,,,,,,,,,,23/3836,,
a_David_Bremner,Q102253132,,homepages/b/DavidBremner,,,,,,,,,,,,,,,b/DavidBremner,,
a_Maria_Jose_Jimenez,Q102254620,,homepages/35/3958,,,,,,,,,,,,,,,35/3958,0000-0001-7316-117X,H7QbCmsAAAAJ
a_Larry_F__Hodges,Q102259457,,homepages/50/4272,,,,,,,,,,,,,,,50/4272,,
a_Michael_Werman,Q102260509,,homepages/24/6738,,,,,,,,,,,,,,,24/6738,,
a_Michel_Kern,Q102260829,,homepages/54/1951,,,,,,,,,,,,,,,54/1951,0000-0002-7979-5947,
a_Nicolas_Privault,Q102261570,,homepages/83/9836,,,,,,,,,,,,,,,83/9836,,
a_Sharon_E__Perl,Q102262865,,homepages/93/3664,,,,,,,,,,,,,,,93/3664,,
a_Leyuan_Shi,Q102263535,,homepages/20/1700,,,,,,,,,,,,,,,20/1700,,
a_Markus_A__Hitz,Q102264288,,homepages/57/6135,,,,,,,,,,,,,,,57/6135,,
a_James_F__Gimpel,Q102264992,,homepages/26/5081,,,,,,,,,,,,,,,26/5081,,
a_Eric_Sven_Ristad,Q102265331,,homepages/20/1208,,,,,,,,,,,,,,,20/1208,,
a_Kirk_Pruhs,Q102265810,,homepages/p/KirkPruhs,,,,,,,,,,,,,,,p/KirkPruhs,,Alc-aWoAAAAJ
a_Elizabeth_Sweedyk,Q102265883,,homepages/44/2879,,,,,,,,,,,,,,,44/2879,,
a_Ren_eacute__Sitters,Q102267867,,homepages/s/ReneSitters,,,,,,,,,,,,,,,s/ReneSitters,0000-0002-0385-0794,
a_Charlie_H__Cooke,Q102268404,,homepages/56/6467,,,,,,,,,,,,,,,56/6467,,
a_Scott_P__MacLachlan,Q102269928,,homepages/65/3132,,,,,,,,,,,,,,,65/3132,,
a_Susanne_Saminger_Platz,Q102272936,,homepages/s/SusanneSamingerPlatz,,,,,,,,,,,,,,,,0000-0002-9606-5751,
