bibkg_id,wikidata_id,previous_link,other_wikidata_ids,dblp_id,linked_by_id,linked_by_id_recursion_authors,linked_by_id_recursion_journals,linked_by_id_recursion_publications,linked_by_comparisons,linked_by_comparisons_recursion_authors,linked_by_comparisons_recursion_journals,linked_by_comparisons_recursion_publications
j_corr_abs_1908_10630,Q111688619,,,journals/corr/abs-1908-10630,1,,,,,,,
j_corr_abs_1908_06921,Q111688626,,,journals/corr/abs-1908-06921,1,,,,1,,,
j_corr_abs_1908_03446,Q111688627,,,journals/corr/abs-1908-03446,1,,,,,,,
j_corr_abs_1909_01091,Q111688767,,,journals/corr/abs-1909-01091,1,,,,1,,,
j_corr_abs_1911_00837,Q111688804,,,journals/corr/abs-1911-00837,1,,,,1,,,
j_corr_abs_1909_10888,Q111688868,,,journals/corr/abs-1909-10888,1,,,,,,,
j_corr_abs_1810_11871,Q111690213,,,journals/corr/abs-1810-11871,1,,,,,,,
a_National_Science_Foundation,Q304878,,,homepages/181/2642,1,,,,,,,
b_aw_AhoSU86,Q2994788,,,,1,,,1,,,,1
p_ethos_Eastaughffe95,Q59574625,,,,1,,,,,,,
p_ethos_Maruyama97,Q59575525,,,,1,,,,,,,
p_ethos_SanabriaPiretti01,Q59576773,,,,1,,,,,,,
p_ethos_Scattergood98,Q59577078,,,,1,,,,,,,
p_ethos_Lecomber98,Q59577139,,,,1,,,,,,,
p_ethos_FentonMay04,Q59582198,,,,1,,,,,,,
p_ethos_Sereni06,Q59582644,,,,1,,,,,,,
p_ethos_Lynagh06,Q59582888,,,,1,,,,,,,
p_ethos_Wangsiripitak10,Q59585515,,,,1,,,,,,,
p_ethos_Hanna11,Q59585927,,,,1,,,,,,,
p_ethos_Chew17,Q59624092,,,,1,,,,,,,
p_ethos_Maher82,Q59642010,,,,1,,,,,,,
j_nar_TacutuTJBBCDLTW18,Q78161166,,,journals/nar/TacutuTJBBCDLTW18,1,,,,,,,
j_corr_abs_1804_01083,Q111688201,,,journals/corr/abs-1804-01083,1,,,,,,,
j_corr_abs_1809_06551,Q111688402,,,journals/corr/abs-1809-06551,1,,,,1,,,
j_corr_CourtoisGN13,Q111688607,,,journals/corr/CourtoisGN13,1,,,,1,,,
j_corr_abs_1809_01031,Q111688615,,,journals/corr/abs-1809-01031,1,,,,,,,
j_corr_abs_1810_11956,Q111688618,,,journals/corr/abs-1810-11956,1,,,,,,,
j_corr_abs_1908_09585,Q111688620,,,journals/corr/abs-1908-09585,1,,,,1,,,
j_corr_abs_1810_11175,Q111688640,,,journals/corr/abs-1810-11175,1,,,,,,,
j_corr_abs_1802_07242,Q111688775,,,journals/corr/abs-1802-07242,1,,,,1,,,
j_corr_abs_1805_03241,Q111688781,,,journals/corr/abs-1805-03241,1,,,,1,,,
j_corr_abs_1805_02105,Q111688782,,,journals/corr/abs-1805-02105,1,,,,,,,
j_corr_abs_1805_05844,Q111688785,,,journals/corr/abs-1805-05844,1,,,,,,,
j_corr_abs_1911_00169,Q111688801,,,journals/corr/abs-1911-00169,1,,,,,,,
j_corr_abs_1910_14415,Q111688810,,,journals/corr/abs-1910-14415,1,,,,,,,
j_corr_abs_1911_03298,Q111688824,,,journals/corr/abs-1911-03298,1,,,,,,,
j_corr_abs_1909_09845,Q111688841,,,journals/corr/abs-1909-09845,1,,,,,,,
p_ethos_OKane93,Q59573501,,,,1,,,,,,,
p_ethos_Bone98,Q59576701,,,,1,,,,,,,
p_ethos_Pace98,Q59577034,,,,1,,,,,,,
p_ethos_Ouaknine00,Q59577824,,,,1,,,,,,,
p_ethos_ArenasSarmiento00,Q59578030,,,,1,,,,,,,
p_ethos_Murawski01,Q59578256,,,,1,,,,,,,
p_ethos_McPhee00,Q59578311,,,,1,,,,,,,
p_ethos_Tredwell99,Q59578357,,,,1,,,,,,,
p_ethos_Bolton02,Q59580106,,,,1,,,,,,,
p_ethos_Tordoff02,Q59580214,,,,1,,,,,,,
